,Dealer,Company,VIP,FEIN,Unnamed: 4,DNI,Peripherals,Service,Owner,Unit ID,Unit,Unit Type,Carrier,Unnamed: 13,Monthly Fee,Billing Group,Billing Period,Last Service Paid Until,Service Paid Until,Serial Number,IMEI,Bill To,Status,Event,Assigned To Company On,Last Event Date,Last Contact On,Last Event Address
6552,UTS Sistemas Kalo MX,COMERCIALIZADORA Y SERVICIOS EDMYA, ,123456789,,,"Panic Button, ",Professional,Client,0HWF,PARTNER MAXI,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,,"19,99",,Monthly,9/20/2024 12:00:00 AM,10/19/2024 12:00:00 AM,4764339513,359369090928660,,Active,Idle Alert,2/28/2025 2:55:53 PM,6/27/2025 2:16:52 PM,6/28/2025 6:19:20 AM,"Lic. Melchor Ocampo 2857, Gobernadores, 26779 Sabinas, Coah., Mexico"
6553,UTS Sistemas Kalo MX,COMERCIALIZADORA Y SERVICIOS EDMYA, ,123456789,,,"Panic Button, ",Professional,Client,0IVS,Rabon 02,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,,"19,99",,Monthly,9/20/2024 12:00:00 AM,10/19/2024 12:00:00 AM,4764335579,359369090275518,,Active,Parked,9/20/2024 2:48:52 PM,7/16/2025 11:13:29 AM,7/16/2025 11:13:46 AM,"Calle Nueva Escocia, Monterrey, Nuevo León"
6554,UTS Sistemas Kalo MX,COMERCIALIZADORA Y SERVICIOS EDMYA, ,123456789,,,"Panic Button, ",Professional,Client,0KOY,Silver 01,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1363193097,352556102786501,,Active,Parked,3/22/2023 9:13:41 AM,7/16/2025 11:11:54 AM,7/16/2025 11:12:17 AM,"Calle Nueva Escocia, Monterrey, Nuevo León"
6555,UTS Sistemas Kalo MX,COMERCIALIZADORA Y SERVICIOS EDMYA, ,123456789,,,"Panic Button, ",Professional,Client,0KOZ,Ford 01,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1363192969,352556102945982,,Active,Idle Alert,3/16/2023 6:12:48 PM,12/2/2023 5:59:53 PM,12/2/2023 6:00:11 PM,808 800 806 804-800 Calle Laredo Calle Laredo Calle Laredo Calle Laredo 
6556,UTS Sistemas Kalo MX,COMERCIALIZADORA Y SERVICIOS EDMYA, ,123456789,,,"Panic Button, ",Professional,Client,0KP0,Silver 02,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1363193096,352556102916702,,Active,Parked,3/16/2023 6:11:47 PM,3/19/2025 12:45:23 PM,3/19/2025 2:36:57 PM,"Nueva Escocia 4326, Industrial Hab Abraham Lincoln, 64310 Monterrey, N.L., Mexico"
6557,UTS Sistemas Kalo MX,COMERCIALIZADORA Y SERVICIOS EDMYA, ,123456789,,,"Panic Button, ",Professional,Client,0KP1,NISSAN,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1363192560,352556102808891,,Active,Parked,5/18/2023 7:37:56 AM,7/16/2025 9:36:38 AM,7/16/2025 9:37:14 AM,"Unidad Organica, Monterrey, Nuevo León"
6558,UTS Sistemas Kalo MX,COMERCIALIZADORA Y SERVICIOS EDMYA, ,123456789,,,"Panic Button, ",Professional,Client,0KP2,Rabon 01,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1363192971,352556102945628,,Active,Parked,3/16/2023 6:12:02 PM,7/16/2025 11:14:33 AM,7/16/2025 11:15:02 AM,"Nueva Jersey 4311A-C, Industrial Hab Abraham Lincoln, 64310 Monterrey, N.L., Mexico"
6559,UTS Sistemas Kalo MX,COMERCIALIZADORA Y SERVICIOS EDMYA, ,123456789,,,"Panic Button, ",Professional,Client,0KP3,RAM 01,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1363192921,352556102919250,,Active,Parked,3/16/2023 6:12:22 PM,12/16/2024 1:11:15 PM,12/16/2024 1:32:58 PM,"Calle Nueva Escocia, Monterrey, Nuevo León"
6560,UTS Sistemas Kalo MX,COMERCIALIZADORA Y SERVICIOS EDMYA, ,123456789,,,"Panic Button, ",Professional,Client,0QKW,Transit Maxi,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"19,99",,Monthly,7/14/2025 12:00:00 AM,8/12/2025 12:00:00 AM,1363122535,359369091138996,,Active,Drive,7/14/2025 8:56:20 AM,7/16/2025 11:14:04 AM,7/16/2025 11:15:20 AM,"MEX-2, Coahuila"
6561,UTS Sistemas Kalo MX,COMERCIALIZADORA Y SERVICIOS EDMYA, ,123456789,,,"Panic Button, ",Professional,Client,0SJI,TRAILER 01,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"19,99",,Monthly,6/29/2024 12:00:00 AM,7/28/2024 12:00:00 AM,1363193086,352556102778938,,Active,Parked,6/29/2024 7:21:16 AM,7/16/2025 7:48:45 AM,7/16/2025 10:01:33 AM,"Nueva Escocia 4326, Industrial Hab Abraham Lincoln, 64310 Monterrey, N.L., Mexico"
6564,TSO Colombia - IBO IDCOM,COMINERALES GGB SAS, ,900893116,,NIT,"Panic Button, ",PLAN MAQUINARIA PESADA,Renting,0U9S,SY021NCCT8178,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,"49916,67",Paquete12,Annually,1/12/2024 12:00:00 AM,1/10/2025 12:00:00 AM,4764415542,354514101468546,,Active,Parked,1/11/2024 3:32:09 AM,7/16/2025 8:14:29 AM,7/16/2025 8:30:45 AM,"X3FF+76 Armero, Tolima, Colombia"
6565,TSO Colombia - IBO IDCOM,COMPA?IA PECUARIA AGRICOLA SAS, ,800010950,,,"Panic Button, ",PLAN MAQUINARIA PESADA,Client,0RDQ,SY003ACC12178,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,,"49916,67",,Annually,12/13/2023 12:00:00 AM,12/11/2024 12:00:00 AM,1363114193,359369090055878,,Active,Parked,12/2/2022 3:28:34 AM,3/6/2025 3:43:54 PM,3/6/2025 3:44:23 PM,"W5GV+PG Tarso, Antioquia, Colombia"
6566,TSO Colombia - IBO IDCOM,COMPA?IA PECUARIA AGRICOLA SAS, ,800010950,,,"Panic Button, ",PLAN MAQUINARIA PESADA,Client,0UMC,SY007SCC58118,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,,"49916,67",,Annually,3/25/2024 12:00:00 AM,3/24/2025 12:00:00 AM,1363189024,352556102770190,,Active,Idle Alert,1/27/2023 9:15:01 AM,7/16/2025 6:17:27 AM,7/16/2025 6:17:53 AM,"W5MR+MQ Tarso, Antioquia, Colombia"
6570,TSO Mobile Peru,COMPANIA COMERCIALIZADORA Y REPRESENTACIONES  SA, ,20354286581,,20354286581,"Panic Button, ",PLAN ESTANDAR,Client,0Y19,TDU-991,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,CLARO-PE TSO,,"16,17",,Annually,4/25/2024 12:00:00 AM,4/24/2025 12:00:00 AM,4764384497,358077093351480,,Active,Parked,4/26/2024 1:45:37 PM,12/8/2024 9:54:24 PM,12/8/2024 9:54:31 PM,"Ramiro Prialé ° 100, Huamachuco 13301, Peru"
6571,TSO Mobile Peru,COMPANIA COMERCIALIZADORA Y REPRESENTACIONES  SA, ,20354286581,,20354286581,"Panic Button, ",PLAN ESTANDAR,Client,0YA4,TFV-998,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,CLARO-PE,,"16,17",,Annually,7/5/2024 12:00:00 AM,7/4/2025 12:00:00 AM,4764428852,354514102540442,,Active,Parked,7/5/2024 3:09:52 PM,12/9/2024 7:58:23 PM,12/9/2024 7:58:44 PM,"Av. Federico Villarreal C, Trujillo 13001, Peru"
6573,TSO Mobile Peru,COMPANIA DE CARGUEROS TERRESTRES S.A.C., ,20607923206,,20607923206,"Panic Button, ",PLAN ESTANDAR,Client,188N,F4O-751,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,CLARO-PE TSO,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764429247,354514102545581,,Active,Drive,4/8/2025 7:04:07 AM,7/16/2025 11:16:34 AM,7/16/2025 11:16:54 AM,"Av Zarumilla-35, San Martin De Porres, Lima, Lima [Province]"
6580,TSO Mobile Peru,COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C, ,20604178704,,20604178704,"MDVR - 009902C03B, Fuel Sensor - 192571, Panic Button, ",PLAN PROFESIONAL,Client,03SL,C6O-811,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,CLARO-PE,,"57,6",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764417663,352556102465239,,Active,Ignition OFF,10/13/2022 11:31:53 AM,7/15/2025 12:37:24 PM,7/15/2025 12:37:51 PM,"Panamericana Norte, La Victoria, Peru"
6581,TSO Mobile Peru,COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C, ,20604178704,,20604178704,"MDVR - 009902C017, Fuel Sensor - 192954, Panic Button, ",PLAN PROFESIONAL,Client,0G5P,ATI-990,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,CLARO-PE TSO,,"57,6",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764383390,358077093346530,,Active,Parked,4/21/2022 12:36:59 PM,7/8/2025 6:36:15 PM,7/8/2025 6:36:08 PM,"Via Principal-27, Trujillo, Trujillo, La Libertad, Perú"
6582,TSO Mobile Peru,COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C, ,20604178704,,20604178704,"Fuel Sensor - 192488, Fuel Sensor - 192487, Panic Button, ",PLAN PROFESIONAL,Client,0GKM,BDN-973,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,CLARO-PE TSO,,"30,2",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764384508,358077093315915,,Active,Parked,3/31/2023 4:13:00 PM,7/16/2025 11:17:00 AM,7/16/2025 11:17:20 AM,"Av Pe-28 Km 244, Paracas, Pisco, Ica"
6583,TSO Mobile Peru,COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C, ,20604178704,,20604178704,"Fuel Sensor - 192581, Fuel Sensor - 192588, Panic Button, ",PLAN PROFESIONAL,Client,0TQF,TLO-992 ,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,CLARO-PE TSO,,"30,2",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764417819,352556102517930,,Active,Ignition OFF,10/16/2022 9:25:25 AM,7/16/2025 11:15:47 AM,7/16/2025 11:15:22 AM,"WF4G+PH Monte Seco, Peru"
6584,TSO Mobile Peru,COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C, ,20604178704,,20604178704,"Fuel Sensor - 192957, Fuel Sensor - 192801, Panic Button, ",PLAN PROFESIONAL,Client,0U0L,BKN-971,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,CLARO-PE TSO,,"30,2",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764428954,354514102545672,,Active,Drive,12/17/2023 8:26:00 AM,7/16/2025 11:15:01 AM,7/16/2025 11:15:19 AM,"Av Pe-1n Km 335, Casma, Casma, Ancash"
6585,TSO Mobile Peru,COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C, ,20604178704,,20604178704,"Panic Button, ",PLAN PROFESIONAL,Client,0WM7,TOT-861,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,CLARO-PE TSO,,19,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764383356,358077093311724,,Active,Parked,12/17/2023 7:50:53 AM,6/4/2025 2:23:12 PM,6/4/2025 2:23:33 PM,"Via Principal-45, Trujillo, Trujillo, La Libertad, Perú"
6586,TSO Mobile Peru,COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C, ,20604178704,,20604178704,"Panic Button, ",PLAN PROFESIONAL,Client,0X9D,1163-FT,CalAmp 0330H - 3G -LMU0330H-SKM6-JAM01,CLARO-PE TSO,,19,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1363186268,352556102015489,,Active,Drive,5/18/2023 12:32:55 PM,7/16/2025 11:13:16 AM,7/16/2025 11:13:17 AM,"Av America Del Sur-60, Trujillo, Trujillo, La Libertad, Perú"
6587,TSO Mobile Peru,COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C, ,20604178704,,20604178704,"Fuel Sensor - 212280, Fuel Sensor - 212293, Panic Button, ",PLAN PROFESIONAL,Client,10RS,TMV-985,CalAmp 2630 - 3G - LMU2631H-H000-G1000,CLARO-PE,,"30,2",,Monthly,7/7/2024 12:00:00 AM,8/5/2024 12:00:00 AM,4634462159,351628096305365,,Active,Drive,7/7/2024 8:41:32 AM,7/16/2025 11:14:48 AM,7/16/2025 11:15:16 AM,"Via Principal Km 682, Pacasmayo, Pacasmayo, La Libertad"
6589,TSO Mobile Peru,COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C, ,20604178704,,20604178704,"Panic Button, ",PLAN PROFESIONAL,Client,16FI,THX-974,CalAmp 2630 - 3G - LMU2631H-H000-G1000,CLARO-PE,,"57,6",INTERNAL U,Monthly,7/7/2024 12:00:00 AM,8/5/2024 12:00:00 AM,4764434408,354514101580282,,Active,Idle - Stop,6/20/2025 11:26:06 AM,7/11/2025 11:21:25 AM,7/11/2025 11:21:42 AM,"Nicolas de Pierola, Trujillo, Peru"
6590,TSO Mobile Peru,COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C, ,20604178704,,20604178704,"Fuel Sensor - 192582, Fuel Sensor - 192970, Panic Button, ",PLAN PROFESIONAL,Client,498T,BBD-992,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,CLARO-PE TSO,,"57,6",,Monthly,7/7/2024 12:00:00 AM,8/5/2024 12:00:00 AM,4764429191,354514102532431,,Active,Parked,6/20/2025 11:52:33 AM,7/8/2025 3:53:57 AM,7/8/2025 3:54:12 AM,"Av Pe-1n Km 362, Casma, Casma, Ancash"
6591,TSO Mobile - Colombia,COMPUENTER INC SAS, ,900338414,,,"Panic Button, ",PLAN STANDARD,Renting,19Q7,ODQ011,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764400451,354514101201681,,Active,Parked,6/18/2025 3:49:17 PM,7/16/2025 10:11:23 AM,7/16/2025 10:11:53 AM,"Cl. 5 #7-2 a 7-100, Villa Del Rosario, Villa Del Rosario, Norte de Santander, Colombia"
6592,TSO Mobile - Colombia,COMPUENTER INC SAS, ,900338414,,,"Panic Button, ",PLAN STANDARD,Renting,19QN,HRM604,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764346615,358077091145546,,Active,Travel Stop,6/18/2025 1:38:12 PM,7/16/2025 11:14:16 AM,7/16/2025 11:14:46 AM,"Cl. 14 #1274, Villa Del Rosario, Norte de Santander, Colombia"
6593,TSO Mobile - Colombia,COMPUENTER INC SAS, ,900338414,,,"Panic Button, ",PLAN STANDARD,Renting,19R3,ODQ010,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764395676,358077093593685,,Active,Parked,6/18/2025 2:38:24 PM,7/16/2025 9:42:17 AM,7/16/2025 9:42:37 AM,"Cl. 5 #749, Villa Del Rosario, Norte de Santander, Colombia"
6594,TSO Mobile - Colombia,COMPUENTER INC SAS, ,900338414,,,"Panic Button, ",PLAN STANDARD,Renting,19RJ,ODQ019,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764414726,352556102285728,COMPUENTER INC SAS,Active,Parked,7/11/2025 11:54:26 AM,7/16/2025 10:18:41 AM,7/16/2025 10:19:06 AM,"Av. 6 #19-83, Los Patios, Norte de Santander, Colombia"
6597,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,04AG,CA255-10200154HJE005,CalAmp 2630 - CDMA - LMU2630CV-G1000,Claro CO,,59965,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4634529547,351628098872453,,Active,Parked,1/24/2020 9:32:22 AM,7/30/2024 6:49:27 AM,7/30/2024 6:49:44 AM,"Carrera 23 ##No. 11-77, Acacías, Meta, Colombia"
6598,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Fuel Sensor - 147649, Panic Button, ",PLAN PROFESIONAL,Renting,05VJ,WNW244,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,105500,,Monthly,1/20/2020 12:00:00 AM,2/18/2020 12:00:00 AM,4764343011,357041069150053,,Active,Parked,1/20/2020 6:28:23 AM,7/16/2025 9:17:41 AM,7/16/2025 9:18:00 AM,"Kr56 19-33, Bogota, Cundinamarca, Colombia"
6599,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Fuel Sensor - 148847, Fuel Sensor - 141974, Panic Button, ",PLAN PROFESIONAL,Renting,0A8M,PUTZMEISTER BSA1408,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,149200,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4634379433,351628093240094,,Active,Parked,12/8/2019 11:41:43 AM,10/21/2023 7:43:52 AM,10/21/2023 7:44:10 AM,"Kr56 19-27, Bogota, Cundinamarca, Colombia"
6601,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0BQR,WOW062,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,MOVISTAR CO,,"59964,97",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764134407,357041060778647,,Active,Drive,10/12/2019 4:25:31 AM,7/16/2025 10:39:42 AM,7/16/2025 10:40:31 AM,"Vía Chichimene, Acacías, Meta, Colombia"
6603,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Fuel Sensor - 142080, Panic Button, ",PLAN PROFESIONAL,Renting,0BVA,WOV990,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR CO,,105500,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764383760,358077093392286,,Active,Parked,12/27/2018 4:12:11 AM,7/16/2025 10:43:38 AM,7/16/2025 10:44:08 AM,Via Acacías - Guamal 
6604,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Fuel Sensor - 142070, Panic Button, ",PLAN PROFESIONAL,Renting,0CHV,WOV991,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,,105500,,Monthly,2/17/2019 12:00:00 AM,3/18/2019 12:00:00 AM,1363189921,352556102900433,,Active,Idle Alert,2/17/2019 6:23:10 AM,7/16/2025 9:56:11 AM,7/16/2025 9:56:54 AM,"Kr56 19-32, Bogota, Cundinamarca, Colombia"
6608,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Temp. Sensor, Fuel Sensor - 142060, Panic Button, ",PLAN PROFESIONAL,Renting,0DMP,WOW122,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR CO,,105500,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764217838,357041063443439,,Active,Drive,6/24/2019 6:50:40 AM,7/16/2025 11:15:45 AM,7/16/2025 11:16:16 AM,"South America, Meta"
6619,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0EB0,CAT00D6NCALY02540,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,,59965,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764347632,35807709219286,,Active,Input 1 ON,6/19/2019 4:02:57 AM,10/20/2024 2:15:11 PM,10/20/2024 2:15:29 PM,"X69J+WP Acacías, Meta, Colombia"
6622,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0EHD,WOW095,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR CO,,"59964,97",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764281148,357041067666084,,Active,Idle Alert,7/16/2019 8:54:13 AM,6/16/2025 11:41:06 AM,6/16/2025 11:41:25 AM,"Cl15-74, Villavicencio, Meta, Colombia"
6628,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0FVJ,CAT0140MPB9D02900,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR CO,,59965,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764321339,358077091162236,,Active,Parked,11/29/2019 1:19:33 PM,3/7/2025 10:39:36 AM,3/7/2025 10:40:20 AM,"X6CJ+2M Acacías, Meta, Colombia"
6629,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0FVU,CAT00D6TEZJB00368,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR CO,,59965,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1363108742,359369090555109,,Active,POWER UP,11/29/2019 11:38:12 AM,1/31/2025 12:38:03 PM,1/31/2025 12:38:04 PM,"Via Principal-75, Sesquile, Cundinamarca, Colombia"
6631,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0GKD,VIBROCOMPATA XS122,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR CO,,59965,,Monthly,1/4/2016 12:00:00 AM,3/21/2080 3:00:01 AM,4764322698,358077091399184,,Active,Parked,5/27/2024 11:44:16 AM,3/23/2024 1:56:35 PM,3/23/2024 2:11:51 PM,67MCRH6Q+8M
6632,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0GLP,WOW057,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR CO,,"59964,97",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764322670,358077091400750,,Active,Drive,8/28/2019 11:48:30 AM,7/16/2025 11:11:36 AM,7/16/2025 11:11:56 AM,"Vía Chichimene, Acacías, Meta, Colombia"
6633,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0GLR,WOW149 - AB,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR CO,,"59964,97",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764322674,358077091449708,,Active,Ignition OFF,8/23/2019 2:27:44 PM,7/16/2025 11:13:46 AM,7/16/2025 11:16:01 AM,"V753+6P Castilla la Nueva, Meta, Colombia"
6634,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0GLX,SD70-182777,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR CO,,59965,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764322685,358077091281770,,Active,Parked,8/29/2019 12:43:29 PM,7/16/2025 9:02:29 AM,7/16/2025 9:02:54 AM,"X6CJ+2Q Acacías, Meta, Colombia"
6636,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0GMX,CAT0320DCA8F02165,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR CO,,59965,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1363105119,359369090348158,,Active,Idle Alert,8/3/2019 9:33:12 AM,7/12/2025 7:20:26 AM,7/12/2025 8:03:16 AM,"Chingaza-55, Bogota, Cundinamarca, Colombia"
6637,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Temp. Sensor, Panic Button, ",PLAN PROFESIONAL,Renting,0GN3,SD100-52837,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,105500,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764322619,358077091840914,,Active,Ignition ON,4/14/2020 7:08:51 AM,6/16/2025 8:53:10 AM,6/16/2025 8:53:24 AM,"X6CJ+2M Acacías, Meta, Colombia"
6638,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0GYI,KSK423,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,,,"59964,97",,Monthly,10/11/2022 12:00:00 AM,11/10/2022 12:00:00 AM,4864055481,357041068859340,,Active,Idle - Stop,11/18/2021 8:19:57 PM,7/5/2025 12:48:25 PM,7/5/2025 12:48:52 PM,"Cl19a 80a, Bogota, Cundinamarca"
6639,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0HQQ,MOTONIVELADORA 140H,CalAmp 2630 - 3G - LMU2631H-H000-G1000,Claro CO,,59965,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4634469538,351628097404308,,Active,POWER UP,11/30/2019 7:14:59 AM,7/4/2025 9:25:27 AM,7/4/2025 9:26:33 AM,"X6CJ+2P Acacías, Meta, Colombia"
6640,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0HR8,CAT00D6NHGS00942,CalAmp 2630 - 3G - LMU2631H-H000-G1000,Claro CO,,59965,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4634469587,351628097404274,,Active,Idle Alert,11/29/2019 12:41:32 PM,5/2/2025 12:16:24 PM,5/2/2025 12:17:02 PM,"X6CJ+2P Acacías, Meta, Colombia"
6641,TSO Colombia - IBO IDCOM,CONCREMACK SAS,VIP,900558342,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0HZJ,ERL574,CalAmp 2630 - 3G - LMU2631H-H000-G1000,Claro CO,,59965,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4634529567,351628098668380,,Active,Input 1 OFF,4/14/2020 9:12:16 AM,7/14/2025 8:26:35 AM,7/14/2025 8:26:47 AM,"Av 40-42, Villavicencio, Meta, Colombia"
